TICKER,CUR_MKT_CAP,TRADE_DATE
AGR,3470.339,2025-07-02
CLX,1480.86,2025-07-02
DXS,5188.76399,2025-07-02
HU1,60.0,2025-07-02
HUB,489.93988,2025-07-02
KOS,8291.23513,2025-07-02
LHC,1091.52,2025-07-02
SZG,2162.9812,2025-07-02
TCB,247269.81086000003,2025-07-02
VAV,1808.0,2025-07-02
RYG,560.25,2025-07-02
AAS,2069.9956899999997,2025-07-02
BBC,1095.15692,2025-07-02
BCC,948.71555,2025-07-02
BHA,1656.6,2025-07-02
BMJ,1091.9997700000001,2025-07-02
C4G,2929.86618,2025-07-02
IDV,1113.39298,2025-07-02
QCG,3205.2544900000003,2025-07-02
SKH,864.6,2025-07-02
TNG,2746.2670099999996,2025-07-02
VGC,20848.275,2025-07-02
ASM,2842.96896,2025-07-02
CLW,528.45,2025-07-02
DSC,3082.82582,2025-07-02
FIC,1460.5,2025-07-02
FIT,1509.30267,2025-07-02
GSP,782.58563,2025-07-02
SCS,6357.42779,2025-07-02
SSH,33450.0,2025-07-02
TDG,77.47581,2025-07-02
DDV,4047.24423,2025-07-02
HDB,77939.85432,2025-07-02
LGC,11725.569710000002,2025-07-02
LPB,96638.57594,2025-07-02
PGC,838.7160600000001,2025-07-02
SMA,195.38723000000002,2025-07-02
TDC,1399.508,2025-07-02
VDP,817.0855,2025-07-02
AST,2992.5,2025-07-02
HBC,2291.60758,2025-07-02
HCD,284.58288,2025-07-02
HTV,116.75664,2025-07-02
LAF,268.01313,2025-07-02
PPH,2075.85077,2025-07-02
PVI,13445.48317,2025-07-02
S99,733.59405,2025-07-02
SEB,1558.39849,2025-07-02
TDP,2779.00088,2025-07-02
TNC,575.575,2025-07-02
VDS,3915.945,2025-07-02
ABW,819.315,2025-07-02
BKG,201.22135,2025-07-02
HVN,85475.61512,2025-07-02
MCP,549.09486,2025-07-02
NHH,1109.598,2025-07-02
OCB,29466.180379999998,2025-07-02
RDP,63.79074,2025-07-02
SZC,7019.44866,2025-07-02
VPB,147570.97897999999,2025-07-02
DHM,226.55419,2025-07-02
EVE,444.98559,2025-07-02
FUC,,2025-07-02
GMC,138.3942,2025-07-02
KDH,29525.3629,2025-07-02
LSS,792.2526,2025-07-02
NCG,1149.92952,2025-07-02
NS2,886.08,2025-07-02
PMW,1999.9932800000001,2025-07-02
POS,744.0,2025-07-02
SPM,153.5355,2025-07-02
VCS,7856.0,2025-07-02
VNE,398.78843,2025-07-02
ACG,5428.366059999999,2025-07-02
ACV,208334.15673,2025-07-02
ASP,199.01976000000002,2025-07-02
CSC,847.68753,2025-07-02
CTF,2099.60221,2025-07-02
DAT,517.82799,2025-07-02
DNH,15459.84,2025-07-02
DRC,2595.61842,2025-07-02
FUE,352.58,2025-07-02
MVN,70594.57440000001,2025-07-02
NCT,2862.53108,2025-07-02
NHT,252.03883,2025-07-02
SCG,5550.5,2025-07-02
SII,987.18819,2025-07-02
CTS,5997.95495,2025-07-02
DBC,11579.55242,2025-07-02
DHA,632.48484,2025-07-02
GKM,132.0238,2025-07-02
HTG,1576.9186100000002,2025-07-02
HTN,886.70829,2025-07-02
MCM,3107.5,2025-07-02
PBC,770.4393299999999,2025-07-02
SSI,50282.74748,2025-07-02
SZB,1236.0,2025-07-02
TMT,433.31627000000003,2025-07-02
VPS,217.70104999999998,2025-07-02
YBM,207.34826,2025-07-02
DRH,346.38202,2025-07-02
FOC,1202.81843,2025-07-02
GDT,553.8615,2025-07-02
PTC,184.77992,2025-07-02
TVC,995.49603,2025-07-02
VC3,3541.77157,2025-07-02
VNM,120590.42918,2025-07-02
BAF,10351.93691,2025-07-02
EVG,1308.719,2025-07-02
LBM,1226.0,2025-07-02
RAL,2272.32593,2025-07-02
SJG,7866.89946,2025-07-02
STG,3782.75424,2025-07-02
SVD,99.93339,2025-07-02
VLC,3272.37081,2025-07-02
DSE,8157.6,2025-07-02
FUE,,2025-07-02
ITA,2158.13962,2025-07-02
ITD,340.0135,2025-07-02
KHG,2871.89096,2025-07-02
KPF,73.64936,2025-07-02
ORS,3208.79755,2025-07-02
PRT,3060.0,2025-07-02
PVP,1581.46239,2025-07-02
SAM,2507.7424100000003,2025-07-02
TEG,763.49747,2025-07-02
VCB,484629.15544999996,2025-07-02
BHN,8414.34,2025-07-02
BID,255577.57378,2025-07-02
BVB,7884.414,2025-07-02
FOX,46468.23962,2025-07-02
LTG,715.2644,2025-07-02
MCH,131851.75902,2025-07-02
PMG,357.2527,2025-07-02
SBH,5726.7725,2025-07-02
SGB,4336.629,2025-07-02
TTA,1785.60473,2025-07-02
VIP,862.7338599999999,2025-07-02
VPI,16514.55817,2025-07-02
VSI,241.55995000000001,2025-07-02
CLC,1389.0019,2025-07-02
COM,441.97565999999995,2025-07-02
CTR,11507.21943,2025-07-02
DAH,277.018,2025-07-02
DHB,2504.24,2025-07-02
DP3,1145.94643,2025-07-02
DXG,16964.42175,2025-07-02
IFS,2230.80919,2025-07-02
TCI,941.1546500000001,2025-07-02
TDM,6226.0,2025-07-02
TIX,1080.0,2025-07-02
TYA,444.86844,2025-07-02
AGP,1155.1026299999999,2025-07-02
AVC,4127.86286,2025-07-02
BFC,2715.4796699999997,2025-07-02
BSR,55188.89316,2025-07-02
D2D,1037.90915,2025-07-02
GTA,92.402,2025-07-02
GVR,125000.0,2025-07-02
HPI,1320.0,2025-07-02
JVC,594.0009,2025-07-02
MIE,965.5422,2025-07-02
NVL,29446.57852,2025-07-02
SKV,696.9,2025-07-02
VTO,994.33999,2025-07-02
BSA,1504.1469399999999,2025-07-02
DPG,4364.5980899999995,2025-07-02
HDG,9434.05739,2025-07-02
HQC,1868.18165,2025-07-02
L10,205.59,2025-07-02
MWG,95813.86631,2025-07-02
SBV,245.36929999999998,2025-07-02
TOS,5083.9812999999995,2025-07-02
TTP,,2025-07-02
VSF,13300.0,2025-07-02
BCG,2640.63193,2025-07-02
FUE,,2025-07-02
HNG,6540.46798,2025-07-02
HWS,1424.3428999999999,2025-07-02
IPA,2972.31727,2025-07-02
SIP,15558.41848,2025-07-02
SZL,1134.7984099999999,2025-07-02
TNA,182.15585000000002,2025-07-02
TNT,250.41,2025-07-02
TVB,997.66347,2025-07-02
VFG,2786.4026200000003,2025-07-02
VRE,57262.42393,2025-07-02
HNA,5727.90431,2025-07-02
LCG,1838.22472,2025-07-02
VFS,2941.91725,2025-07-02
TTN,657.42225,2025-07-02
ANV,6283.6357,2025-07-02
BRC,174.48746,2025-07-02
CHP,5068.48705,2025-07-02
FUE,121.974,2025-07-02
HVH,606.67621,2025-07-02
LGL,212.16805,2025-07-02
MHC,347.80958000000004,2025-07-02
PEG,1020.39763,2025-07-02
SVC,1332.40128,2025-07-02
APF,1551.0471100000002,2025-07-02
BAB,11496.26212,2025-07-02
CAV,,2025-07-02
DVP,3100.0,2025-07-02
EVS,988.8037099999999,2025-07-02
HSL,239.11765,2025-07-02
HTM,2353.55702,2025-07-02
ILB,1060.0358999999999,2025-07-02
NHA,993.7004499999999,2025-07-02
SMC,794.95384,2025-07-02
TAL,8482.32,2025-07-02
TBH,1219.8431799999998,2025-07-02
TIP,1264.40282,2025-07-02
TMP,4480.0,2025-07-02
AAM,74.83046,2025-07-02
SSC,463.1853,2025-07-02
TID,4700.0,2025-07-02
VGG,2068.29,2025-07-02
VSC,5952.48876,2025-07-02
YEG,2359.1650299999997,2025-07-02
BMC,231.74218,2025-07-02
EVF,8176.08237,2025-07-02
HT1,4827.11237,2025-07-02
LM8,127.21664,2025-07-02
PHC,254.93009,2025-07-02
PVD,10978.63012,2025-07-02
SAB,59510.894060000006,2025-07-02
AAA,2763.8446099999996,2025-07-02
AAT,218.12284,2025-07-02
DC4,1329.23557,2025-07-02
DTA,88.85436999999999,2025-07-02
HUT,11431.29325,2025-07-02
KSB,1962.70951,2025-07-02
MSR,20444.29081,2025-07-02
NAB,23607.86951,2025-07-02
NT2,5469.64455,2025-07-02
PJT,265.00165999999996,2025-07-02
SGI,988.5875699999999,2025-07-02
SQC,1824.083,2025-07-02
TN1,581.83451,2025-07-02
CRC,651.16728,2025-07-02
DTP,2616.12157,2025-07-02
HAN,1354.0608,2025-07-02
ICT,394.26625,2025-07-02
MIG,3454.58238,2025-07-02
MVC,1030.0,2025-07-02
NVB,14682.90939,2025-07-02
PRE,2088.0,2025-07-02
QNP,1276.95442,2025-07-02
VNG,742.22052,2025-07-02
ADP,686.58753,2025-07-02
BVH,39714.267869999996,2025-07-02
DCF,1762.959,2025-07-02
FUE,51.414,2025-07-02
HAS,58.5,2025-07-02
LDG,886.987,2025-07-02
PET,2588.01168,2025-07-02
PLP,292.59936,2025-07-02
SHB,52644.99807,2025-07-02
VMD,268.66065999999995,2025-07-02
